Samples per Second	1
UTC Date	UTC Time	Sample	CH0S001 (1536,409 ; x)	CH0S002 (1544,961 ; x)	CH0S003 (1556,226 ; x)	CH0S004 (1562,157 ; x)	CH1S001 (1553,011 ; x)	CH1S002 (1554,304 ; x)
14-02-2024	12:58:35	00001	0,6289	0,4987	-0,5073	0,5271	-998,0000	-998,0000
14-02-2024	12:58:36	00002	0,6264	0,4979	-0,5084	0,5269	-998,0000	-998,0000
14-02-2024	12:58:37	00003	0,6262	0,4981	-0,5094	0,5259	-998,0000	-998,0000
14-02-2024	12:58:38	00004	0,6268	0,4975	-0,5098	0,5261	-998,0000	-998,0000
14-02-2024	12:58:39	00005	0,6262	0,4926	-0,5104	0,5252	-998,0000	-998,0000
14-02-2024	12:58:40	00006	0,6213	0,4929	-0,5122	0,5238	-998,0000	-998,0000
14-02-2024	12:58:41	00007	0,6222	0,4900	-0,5134	0,5235	-998,0000	-998,0000
14-02-2024	12:58:42	00008	0,6215	0,4924	-0,5137	0,5237	-998,0000	-998,0000
14-02-2024	12:58:43	00009	0,6216	0,4914	-0,5157	0,5227	-998,0000	-998,0000
14-02-2024	12:58:44	00010	0,6184	0,4899	-0,5167	0,5214	-998,0000	-998,0000
14-02-2024	12:58:45	00011	0,6195	0,4904	-0,5168	0,5212	-998,0000	-998,0000
14-02-2024	12:58:46	00012	0,6177	0,4877	-0,5183	0,5203	-998,0000	-998,0000
14-02-2024	12:58:47	00013	0,6173	0,4864	-0,5179	0,5194	-998,0000	-998,0000
14-02-2024	12:58:48	00014	0,6161	0,4862	-0,5195	0,5189	-998,0000	-998,0000
14-02-2024	12:58:49	00015	0,6165	0,4872	-0,5211	0,5182	-998,0000	-998,0000
14-02-2024	12:58:50	00016	0,6163	0,4880	-0,5204	0,5180	-998,0000	-998,0000
14-02-2024	12:58:51	00017	0,6148	0,4840	-0,5238	0,5166	-998,0000	-998,0000
14-02-2024	12:58:52	00018	0,6143	0,4865	-0,5241	0,5156	-998,0000	-998,0000
14-02-2024	12:58:53	00019	0,6128	0,4840	-0,5234	0,5145	-998,0000	-998,0000
14-02-2024	12:58:54	00020	0,6123	0,4835	-0,5241	0,5160	-998,0000	-998,0000
14-02-2024	12:58:55	00021	0,6126	0,4818	-0,5248	0,5160	-998,0000	-998,0000
14-02-2024	12:58:56	00022	0,6112	0,4820	-0,5252	0,5147	-998,0000	-998,0000
14-02-2024	12:58:57	00023	0,6096	0,4819	-0,5245	0,5140	-998,0000	-998,0000
14-02-2024	12:58:58	00024	0,6090	0,4798	-0,5268	0,5125	-998,0000	-998,0000
14-02-2024	12:58:59	00025	0,6097	0,4800	-0,5275	0,5121	-998,0000	-998,0000
14-02-2024	12:59:00	00026	0,6070	0,4786	-0,5290	0,5123	-998,0000	-998,0000
14-02-2024	12:59:01	00027	0,6055	0,4789	-0,5299	0,5115	-998,0000	-998,0000
14-02-2024	12:59:02	00028	0,6074	0,4765	-0,5296	0,5108	-998,0000	-998,0000
14-02-2024	12:59:03	00029	0,6047	0,4740	-0,5296	0,5104	-998,0000	-998,0000
14-02-2024	12:59:04	00030	0,6030	0,4785	-0,5313	0,5095	-998,0000	-998,0000
